OpenDate,FirstName,LastName,Gender,PreviousCancellations,YearsAsCustomer,CustomerApproved,AppointmentDate,AppointmentSlot,EngineerKey,TaskCategory,Maintenance,FixDescription,CustomerAge,PastVisits,Result
9/14/16,Aurelia,Hursey,Female,0,3-5 Years,FALSE,9/25/16,,1234490,Planned Maintenance,Premise maintenance with customer,N/A,70 to 80,1,0
9/17/16,Sid,Fye,,0,0-1 Years,FALSE,9/28/16,12:00 PM - 02:00 PM,1234493,Business SLA,Premise maintenance with customer,N/A,70 to 80,0,1
9/13/16,Kathrin,Lizotte,Female,0,Over 5 Years,FALSE,9/29/16,04:00 PM - 06:00 PM,1234494,New Install,Premise maintenance with customer,N/A,40 to 50,0,0
9/17/16,Jacinta,Ealey,Female,0,0-1 Years,FALSE,9/27/16,10:00 AM - 12:00 PM,1234491,Planned Maintenance,Premise maintenance with customer,N/A,30 to 40,0,0
9/12/16,Sal,Lupi,Male,0,1-3 Years,FALSE,10/5/16,02:00 PM - 04:00 PM,1234495,New Install,Premise maintenance with customer,N/A,50 to 60,0,0
9/15/16,Ying,Ariola,,0,0-1 Years,FALSE,10/2/16,02:00 PM - 04:00 PM,1234496,Break Fix,Premise maintenance with customer,Router no led,70 to 80,4,1
9/17/16,Thurman,Sibert,Male,0,0-1 Years,FALSE,9/28/16,04:00 PM - 06:00 PM,1234488,New Install,Premise maintenance with customer,N/A,50 to 60,0,0
9/16/16,Charmain,Findlay,Female,0,0-1 Years,FALSE,10/2/16,08:00 AM - 10:00 AM,1234491,Break Fix,Premise maintenance with customer,Router no power,50 to 60,2,1
9/14/16,Mignon,Cecena,Female,1,0-1 Years,TRUE,9/30/16,10:00 AM - 12:00 PM,1234485,New Install,Premise maintenance with customer,N/A,50 to 60,3,0
9/14/16,Carlita,Epling,Female,0,1-3 Years,FALSE,10/2/16,02:00 PM - 04:00 PM,1234476,Break Fix,,TV box no power,10 to 20,1,1
9/12/16,Rufus,Shalash,Male,0,3-5 Years,FALSE,10/1/16,,1234495,New Install,Premise maintenance with customer,N/A,40 to 50,2,0
9/13/16,Mark,Pruden,Male,2,1-3 Years,TRUE,9/28/16,08:00 AM - 10:00 AM,1234491,Disconnect,Premise maintenance with customer,N/A,50 to 60,2,1
9/14/16,Willard,Broughton,Male,3+,0-1 Years,TRUE,9/29/16,04:00 PM - 06:00 PM,1234478,New Install,Premise maintenance with customer,N/A,60 to 70,1,0
9/15/16,Winona,Blust,Female,1,0-1 Years,FALSE,9/21/16,,1234487,Disconnect,Premise maintenance with customer,N/A,30 to 40,2,0
9/15/16,Jake,Lagace,Male,0,0-1 Years,TRUE,9/30/16,,1234496,Business SLA,Premise maintenance with customer,N/A,70 to 80,3,0
9/13/16,Terry,Cortese,Male,2,0-1 Years,TRUE,9/23/16,10:00 AM - 12:00 PM,1234487,Planned Maintenance,Premise maintenance with customer,N/A,40 to 50,2,0
9/14/16,Golden,Rhem,Female,0,3-5 Years,FALSE,9/21/16,04:00 PM - 06:00 PM,1234487,New Install,Premise maintenance with customer,N/A,40 to 50,4,0
9/18/16,Natasha,Hubbs,,0,1-3 Years,FALSE,10/2/16,02:00 PM - 04:00 PM,1234496,Planned Maintenance,Premise maintenance with customer,N/A,60 to 70,3,0
9/18/16,Larry,Dengler,Male,0,1-3 Years,TRUE,9/24/16,,1234482,New Install,Premise maintenance with customer,N/A,70 to 80,0,0
9/17/16,Lynn,Hollingworth,Male,1,3-5 Years,FALSE,9/28/16,10:00 AM - 12:00 PM,1234478,New Install,Premise maintenance with customer,N/A,30 to 40,1,1
9/15/16,Raymon,Ruggles,,1,0-1 Years,FALSE,10/1/16,04:00 PM - 06:00 PM,1234479,Break Fix,Premise maintenance with customer,Phone no power,10 to 20,2,1
9/16/16,Alfonzo,Ruyle,Male,0,0-1 Years,FALSE,9/29/16,04:00 PM - 06:00 PM,1234488,Break Fix,Premise maintenance with customer,TV box broken,60 to 70,0,0
9/13/16,Winfred,Buhl,Male,0,0-1 Years,TRUE,9/21/16,04:00 PM - 06:00 PM,1234493,New Install,Premise maintenance with customer,N/A,70 to 80,1,0
9/17/16,Gigi,Mcgowin,Female,0,Over 5 Years,FALSE,9/21/16,02:00 PM - 04:00 PM,1234489,Break Fix,Premise maintenance with customer,Router no led,40 to 50,2,0
9/18/16,Stacy,Deveau,,1,1-3 Years,FALSE,10/3/16,08:00 AM - 10:00 AM,1234485,Break Fix,Premise maintenance with customer,Phone no power,70 to 80,4,1
9/13/16,Jeanette,Yankey,Female,0,0-1 Years,FALSE,9/25/16,10:00 AM - 12:00 PM,1234496,Break Fix,Premise maintenance with customer,TV box no time,60 to 70,0,0
9/18/16,Linda,Delzell,Female,0,0-1 Years,FALSE,9/25/16,12:00 PM - 02:00 PM,1234496,New Install,Premise maintenance with customer,N/A,70 to 80,0,0
9/16/16,Monte,No,Male,3+,0-1 Years,FALSE,9/28/16,08:00 AM - 10:00 AM,1234498,Business SLA,Premise maintenance with customer,N/A,60 to 70,0,1
9/14/16,Gilda,Brueggeman,Female,0,1-3 Years,TRUE,9/28/16,12:00 PM - 02:00 PM,1234488,Break Fix,Premise maintenance with customer,TV box broken,30 to 40,0,0
9/17/16,Wanita,Simonsen,Female,0,1-3 Years,FALSE,9/17/16,04:00 PM - 06:00 PM,1234477,Break Fix,Premise maintenance with customer,TV box no power,60 to 70,1,0
9/13/16,Tamie,Cruickshank,Female,0,1-3 Years,FALSE,9/27/16,02:00 PM - 04:00 PM,1234497,Disconnect,Premise maintenance with customer,N/A,30 to 40,0,0
9/16/16,Tiffanie,Huls,Female,0,3-5 Years,FALSE,9/26/16,08:00 AM - 10:00 AM,1234494,New Install,Premise maintenance with customer,N/A,70 to 80,2,0
9/14/16,Denny,Slowik,Male,0,1-3 Years,FALSE,9/25/16,08:00 AM - 10:00 AM,1234478,Break Fix,Premise maintenance with customer,TV box frozen,60 to 70,4,1
9/13/16,Dylan,Josey,Male,1,0-1 Years,FALSE,10/5/16,12:00 PM - 02:00 PM,1234487,Break Fix,Premise maintenance with customer,Router no power,60 to 70,4,0
9/16/16,Mohammed,Meserve,Male,1,Over 5 Years,FALSE,9/16/16,04:00 PM - 06:00 PM,1234479,Break Fix,Premise maintenance with customer,TV box no time,50 to 60,2,0
9/17/16,Mitch,Jenkin,Male,0,1-3 Years,FALSE,9/30/16,12:00 PM - 02:00 PM,1234483,Break Fix,Premise maintenance with customer,TV box no led,60 to 70,3,1
9/17/16,Lavonna,Henault,Female,0,1-3 Years,FALSE,9/23/16,08:00 AM - 10:00 AM,1234486,Planned Maintenance,Premise maintenance with customer,N/A,50 to 60,0,0
9/14/16,Fernando,Sweatman,Male,0,1-3 Years,FALSE,10/1/16,08:00 AM - 10:00 AM,1234494,Break Fix,Premise maintenance with customer,TV box no led,50 to 60,4,0
9/12/16,Rocky,Widener,Male,0,1-3 Years,FALSE,9/16/16,,1234486,Disconnect,Premise maintenance with customer,N/A,40 to 50,0,0
9/15/16,Camie,Mccrary,Female,0,0-1 Years,FALSE,9/25/16,12:00 PM - 02:00 PM,1234482,Break Fix,Premise maintenance with customer,Router no led,30 to 40,0,0
9/16/16,Alexandra,Vargo,,0,1-3 Years,FALSE,9/25/16,12:00 PM - 02:00 PM,1234496,Break Fix,Premise maintenance with customer,TV box no power,20 to 30,0,0
9/13/16,Derrick,Urman,Male,1,3-5 Years,TRUE,9/28/16,02:00 PM - 04:00 PM,1234494,Break Fix,Premise maintenance with customer,Router no power,40 to 50,4,1
9/17/16,Kandis,Lucius,,2,0-1 Years,FALSE,9/16/16,12:00 PM - 02:00 PM,1234476,Break Fix,Premise maintenance with customer,Phone broken,40 to 50,1,0
9/12/16,Lien,Brymer,Female,2,3-5 Years,TRUE,10/1/16,,1234484,Business SLA,Premise maintenance with customer,N/A,50 to 60,0,0
9/16/16,Aide,Warburton,,0,0-1 Years,FALSE,9/15/16,08:00 AM - 10:00 AM,1234483,Break Fix,Premise maintenance with customer,Router no led,60 to 70,2,0
9/14/16,Glen,Hazard,Male,0,1-3 Years,FALSE,9/21/16,12:00 PM - 02:00 PM,1234481,New Install,Premise maintenance with customer,N/A,50 to 60,3,0
